Week	Away	Home	AwayScore	HomeScore	Winner
1	BUF	LA	31	10	BUF
1	SF	CHI	10	19	CHI
1	PIT	CIN	23	20	PIT
1	NE	MIA	7	20	MIA
1	CLE	CAR	26	24	CLE
1	IND	HOU	20	20	TIE
1	JAX	WAS	22	28	WAS
1	NO	ATL	27	26	NO
1	BAL	NYJ	24	9	BAL
1	PHI	DET	38	35	PHI
1	GB	MIN	7	23	MIN
1	NYG	TEN	21	20	NYG
1	LV	LAC	19	24	LAC
1	KC	ARI	44	21	KC
1	TB	DAL	19	3	TB
1	DEN	SEA	16	17	SEA
2	LAC	KC	24	27	KC
2	NE	PIT	17	14	NE
2	CAR	NYG	16	19	NYG
2	NYJ	CLE	31	30	NYJ
2	IND	JAX	0	24	JAX
2	MIA	BAL	42	38	MIA
2	TB	NO	20	10	TB
2	WAS	DET	27	36	DET
2	SEA	SF	7	27	SF
2	ATL	LA	27	31	LA
2	ARI	LV	29	23	ARI
2	HOU	DEN	9	16	DEN
2	CIN	DAL	17	20	DAL
2	CHI	GB	10	27	GB
2	TEN	BUF	7	41	BUF
2	MIN	PHI	7	24	PHI
3	PIT	CLE	17	29	CLE
3	BUF	MIA	19	21	MIA
3	CIN	NYJ	27	12	CIN
3	LV	TEN	22	24	TEN
3	NO	CAR	14	22	CAR
3	BAL	NE	37	26	BAL
3	DET	MIN	24	28	MIN
3	PHI	WAS	24	8	PHI
3	KC	IND	17	20	IND
3	HOU	CHI	20	23	CHI
3	JAX	LAC	38	10	JAX
3	LA	ARI	20	12	LA
3	GB	TB	14	12	GB
3	ATL	SEA	27	23	ATL
3	SF	DEN	10	11	DEN
3	DAL	NYG	23	16	DAL
4	MIA	CIN	15	27	CIN
4	MIN	NO	28	25	MIN
4	JAX	PHI	21	29	PHI
4	BUF	BAL	23	20	BUF
4	SEA	DET	48	45	SEA
4	NYJ	PIT	24	20	NYJ
4	CHI	NYG	12	20	NYG
4	TEN	IND	24	17	TEN
4	LAC	HOU	34	24	LAC
4	CLE	ATL	20	23	ATL
4	WAS	DAL	10	25	DAL
4	ARI	CAR	26	16	ARI
4	DEN	LV	23	32	LV
4	NE	GB	24	27	GB
4	KC	TB	41	31	KC
4	LA	SF	9	24	SF
5	IND	DEN	12	9	IND
5	NYG	GB	27	22	NYG
5	DET	NE	0	29	NE
5	LAC	CLE	30	28	LAC
5	HOU	JAX	13	6	HOU
5	ATL	TB	15	21	TB
5	PIT	BUF	3	38	BUF
5	MIA	NYJ	17	40	NYJ
5	CHI	MIN	22	29	MIN
5	TEN	WAS	21	17	TEN
5	SEA	NO	32	39	NO
5	SF	CAR	37	15	SF
5	PHI	ARI	20	17	PHI
5	DAL	LA	22	10	DAL
5	CIN	BAL	17	19	BAL
5	LV	KC	29	30	KC
6	WAS	CHI	12	7	WAS
6	BAL	NYG	20	24	NYG
6	JAX	IND	27	34	IND
6	NE	CLE	38	15	NE
6	CIN	NO	30	26	CIN
6	TB	PIT	18	20	PIT
6	SF	ATL	14	28	ATL
6	NYJ	GB	27	10	NYJ
6	MIN	MIA	24	16	MIN
6	CAR	LA	10	24	LA
6	ARI	SEA	9	19	SEA
6	BUF	KC	24	20	BUF
6	DAL	PHI	17	26	PHI
6	DEN	LAC	16	19	LAC
7	NO	ARI	34	42	ARI
7	GB	WAS	21	23	WAS
7	CLE	BAL	20	23	BAL
7	TB	CAR	3	21	CAR
7	ATL	CIN	17	35	CIN
