,Week,Away,Home,AwayScore,HomeScore,Winner
0,1,BUF,LA,31,10,BUF
1,1,SF,CHI,10,19,CHI
2,1,PIT,CIN,23,20,PIT
3,1,NE,MIA,7,20,MIA
4,1,CLE,CAR,26,24,CLE
5,1,IND,HOU,20,20,TIE
6,1,JAX,WAS,22,28,WAS
7,1,NO,ATL,27,26,NO
8,1,BAL,NYJ,24,9,BAL
9,1,PHI,DET,38,35,PHI
10,1,GB,MIN,7,23,MIN
11,1,NYG,TEN,21,20,NYG
12,1,LV,LAC,19,24,LAC
13,1,KC,ARI,44,21,KC
14,1,TB,DAL,19,3,TB
15,1,DEN,SEA,16,17,SEA
16,2,LAC,KC,24,27,KC
17,2,NE,PIT,17,14,NE
18,2,CAR,NYG,16,19,NYG
19,2,NYJ,CLE,31,30,NYJ
20,2,IND,JAX,0,24,JAX
21,2,MIA,BAL,42,38,MIA
22,2,TB,NO,20,10,TB
23,2,WAS,DET,27,36,DET
24,2,SEA,SF,7,27,SF
25,2,ATL,LA,27,31,LA
26,2,ARI,LV,29,23,ARI
27,2,HOU,DEN,9,16,DEN
28,2,CIN,DAL,17,20,DAL
29,2,CHI,GB,10,27,GB
30,2,TEN,BUF,7,41,BUF
31,2,MIN,PHI,7,24,PHI
32,3,PIT,CLE,17,29,CLE
33,3,BUF,MIA,19,21,MIA
34,3,CIN,NYJ,27,12,CIN
35,3,LV,TEN,22,24,TEN
36,3,NO,CAR,14,22,CAR
37,3,BAL,NE,37,26,BAL
38,3,DET,MIN,24,28,MIN
39,3,PHI,WAS,24,8,PHI
40,3,KC,IND,17,20,IND
41,3,HOU,CHI,20,23,CHI
42,3,JAX,LAC,38,10,JAX
43,3,LA,ARI,20,12,LA
44,3,GB,TB,14,12,GB
45,3,ATL,SEA,27,23,ATL
46,3,SF,DEN,10,11,DEN
47,3,DAL,NYG,23,16,DAL
48,4,MIA,CIN,15,27,CIN
49,4,MIN,NO,28,25,MIN
50,4,JAX,PHI,21,29,PHI
51,4,BUF,BAL,23,20,BUF
52,4,SEA,DET,48,45,SEA
53,4,NYJ,PIT,24,20,NYJ
54,4,CHI,NYG,12,20,NYG
55,4,TEN,IND,24,17,TEN
56,4,LAC,HOU,34,24,LAC
57,4,CLE,ATL,20,23,ATL
58,4,WAS,DAL,10,25,DAL
59,4,ARI,CAR,26,16,ARI
60,4,DEN,LV,23,32,LV
61,4,NE,GB,24,27,GB
62,4,KC,TB,41,31,KC
63,4,LA,SF,9,24,SF
64,5,IND,DEN,12,9,IND
65,5,NYG,GB,27,22,NYG
66,5,DET,NE,0,29,NE
67,5,LAC,CLE,30,28,LAC
68,5,HOU,JAX,13,6,HOU
69,5,ATL,TB,15,21,TB
70,5,PIT,BUF,3,38,BUF
71,5,MIA,NYJ,17,40,NYJ
72,5,CHI,MIN,22,29,MIN
73,5,TEN,WAS,21,17,TEN
74,5,SEA,NO,32,39,NO
75,5,SF,CAR,37,15,SF
76,5,PHI,ARI,20,17,PHI
77,5,DAL,LA,22,10,DAL
78,5,CIN,BAL,17,19,BAL
79,5,LV,KC,29,30,KC
80,6,WAS,CHI,12,7,WAS
81,6,BAL,NYG,20,24,NYG
82,6,JAX,IND,27,34,IND
83,6,NE,CLE,38,15,NE
84,6,CIN,NO,30,26,CIN
85,6,TB,PIT,18,20,PIT
86,6,SF,ATL,14,28,ATL
87,6,NYJ,GB,27,10,NYJ
88,6,MIN,MIA,24,16,MIN
89,6,CAR,LA,10,24,LA
90,6,ARI,SEA,9,19,SEA
91,6,BUF,KC,24,20,BUF
92,6,DAL,PHI,17,26,PHI
93,6,DEN,LAC,16,19,LAC
94,7,NO,ARI,34,42,ARI
95,7,GB,WAS,21,23,WAS
96,7,CLE,BAL,20,23,BAL
97,7,TB,CAR,3,21,CAR
98,7,ATL,CIN,17,35,CIN
99,7,DET,DAL,6,24,DAL
100,7,NYG,JAX,23,17,NYG
101,7,IND,TEN,10,19,TEN
102,7,HOU,LV,20,38,LV
103,7,NYJ,DEN,16,9,NYJ
104,7,KC,SF,44,23,KC
105,7,SEA,LAC,37,23,SEA
106,7,PIT,MIA,10,16,MIA
107,7,CHI,NE,33,14,CHI
108,8,BAL,TB,27,22,BAL
109,8,DEN,JAX,21,17,DEN
110,8,MIA,DET,31,27,MIA
111,8,CAR,ATL,34,37,ATL
112,8,ARI,MIN,26,34,MIN
113,8,CHI,DAL,29,49,DAL
114,8,LV,NO,0,24,NO
115,8,PIT,PHI,13,35,PHI
116,8,NE,NYJ,22,17,NE
117,8,TEN,HOU,17,10,TEN
118,8,NYG,SEA,13,27,SEA
119,8,WAS,IND,17,16,WAS
120,8,SF,LA,31,14,SF
121,8,GB,BUF,17,27,BUF
122,8,CIN,CLE,13,32,CLE
123,9,PHI,HOU,29,17,PHI
124,9,IND,NE,3,26,NE
125,9,GB,DET,9,15,DET
126,9,LAC,ATL,20,17,LAC
127,9,BUF,NYJ,17,20,NYJ
128,9,MIN,WAS,20,17,MIN
129,9,CAR,CIN,21,42,CIN
130,9,LV,JAX,20,27,JAX
131,9,MIA,CHI,35,32,MIA
132,9,SEA,ARI,31,21,SEA
133,9,LA,TB,13,16,TB
134,9,TEN,KC,17,20,KC
135,9,BAL,NO,27,13,BAL
136,10,ATL,CAR,15,25,CAR
137,10,SEA,TB,16,21,TB
138,10,NO,PIT,10,20,PIT
139,10,DET,CHI,31,30,DET
140,10,CLE,MIA,17,39,MIA
141,10,DEN,TEN,10,17,TEN
142,10,MIN,BUF,33,30,MIN
143,10,HOU,NYG,16,24,NYG
144,10,JAX,KC,17,27,KC
145,10,IND,LV,25,20,IND
146,10,ARI,LA,27,17,ARI
147,10,DAL,GB,28,31,GB
148,10,LAC,SF,16,22,SF
149,10,WAS,PHI,32,21,WAS
150,11,TEN,GB,27,17,TEN
151,11,CHI,ATL,24,27,ATL
152,11,PHI,IND,17,16,PHI
153,11,NYJ,NE,3,10,NE
154,11,WAS,HOU,23,10,WAS
155,11,LA,NO,20,27,NO
156,11,CLE,BUF,23,31,BUF
157,11,CAR,BAL,3,13,BAL
158,11,DET,NYG,31,18,DET
159,11,LV,DEN,22,16,LV
160,11,DAL,MIN,40,3,DAL
161,11,CIN,PIT,37,30,CIN
162,11,KC,LAC,30,27,KC
163,11,SF,ARI,38,10,SF
164,12,BUF,DET,28,25,BUF
165,12,NYG,DAL,20,28,DAL
166,12,NE,MIN,26,33,MIN
167,12,HOU,MIA,15,30,MIA
168,12,CIN,TEN,20,16,CIN
169,12,DEN,CAR,10,23,CAR
170,12,CHI,NYJ,10,31,NYJ
171,12,ATL,WAS,13,19,WAS
172,12,TB,CLE,17,23,CLE
173,12,BAL,JAX,27,28,JAX
174,12,LV,SEA,40,34,LV
175,12,LAC,ARI,25,24,LAC
176,12,NO,SF,0,13,SF
177,12,LA,KC,10,26,KC
178,12,GB,PHI,33,40,PHI
179,12,PIT,IND,24,17,PIT
180,13,BUF,NE,24,10,BUF
181,13,JAX,DET,14,40,DET
182,13,TEN,PHI,10,35,PHI
183,13,CLE,HOU,27,14,CLE
184,13,WAS,NYG,20,20,TIE
185,13,DEN,BAL,9,10,BAL
186,13,GB,CHI,28,19,GB
187,13,PIT,ATL,19,16,PIT
188,13,NYJ,MIN,22,27,MIN
189,13,MIA,SF,17,33,SF
190,13,SEA,LA,27,23,SEA
191,13,LAC,LV,20,27,LV
192,13,KC,CIN,24,27,CIN
193,13,IND,DAL,19,54,DAL
194,13,NO,TB,16,17,TB
195,14,LV,LA,16,17,LA
196,14,MIN,DET,23,34,DET
197,14,BAL,PIT,16,14,BAL
198,14,CLE,CIN,10,23,CIN
199,14,NYJ,BUF,12,20,BUF
200,14,HOU,DAL,23,27,DAL
201,14,PHI,NYG,48,22,PHI
202,14,JAX,TEN,36,22,JAX
203,14,KC,DEN,34,28,KC
204,14,CAR,SEA,30,24,CAR
205,14,TB,SF,7,35,SF
206,14,MIA,LAC,17,23,LAC
207,14,NE,ARI,27,13,NE
208,15,SF,SEA,21,13,SF
209,15,IND,MIN,36,39,MIN
210,15,BAL,CLE,3,13,CLE
211,15,MIA,BUF,29,32,BUF
212,15,PHI,CHI,25,20,PHI
213,15,DET,NYJ,20,17,DET
214,15,PIT,CAR,24,16,PIT
215,15,KC,HOU,30,24,KC
216,15,ATL,NO,18,21,NO
217,15,DAL,JAX,34,40,JAX
218,15,ARI,DEN,15,24,DEN
219,15,NE,LV,24,30,LV
220,15,TEN,LAC,14,17,LAC
221,15,CIN,TB,34,23,CIN
222,15,NYG,WAS,20,12,NYG
223,15,LA,GB,12,24,GB
224,16,JAX,NYJ,19,3,JAX
225,16,ATL,BAL,9,17,BAL
226,16,DET,CAR,23,37,CAR
227,16,SEA,KC,10,24,KC
228,16,NO,CLE,17,10,NO
229,16,CIN,NE,22,18,CIN
230,16,NYG,MIN,24,27,MIN
231,16,BUF,CHI,35,13,BUF
232,16,HOU,TEN,19,14,HOU
233,16,WAS,SF,20,37,SF
234,16,PHI,DAL,34,40,DAL
235,16,LV,PIT,10,13,PIT
236,16,GB,MIA,26,20,GB
237,16,DEN,LA,14,51,LA
238,16,TB,ARI,19,16,TB
239,16,LAC,IND,20,3,LAC
240,17,DAL,TEN,27,13,DAL
241,17,ARI,ATL,19,20,ATL
242,17,MIA,NE,21,23,NE
243,17,NO,PHI,20,10,NO
244,17,IND,NYG,10,38,NYG
245,17,CAR,TB,24,30,TB
246,17,DEN,KC,24,27,KC
247,17,CHI,DET,10,41,DET
248,17,CLE,WAS,24,10,CLE
249,17,JAX,HOU,31,3,JAX
250,17,SF,LV,37,34,SF
251,17,NYJ,SEA,6,23,SEA
252,17,MIN,GB,17,41,GB
253,17,LA,LAC,10,31,LAC
254,17,PIT,BAL,16,13,PIT
255,18,KC,LV,31,13,KC
256,18,TEN,JAX,16,20,JAX
257,18,CLE,PIT,14,28,PIT
258,18,BAL,CIN,16,27,CIN
259,18,MIN,CHI,29,13,MIN
260,18,NE,BUF,23,35,BUF
261,18,NYJ,MIA,6,11,MIA
262,18,TB,ATL,17,30,ATL
263,18,CAR,NO,10,7,CAR
264,18,HOU,IND,32,31,HOU
265,18,ARI,SF,13,38,SF
266,18,DAL,WAS,6,26,WAS
267,18,LA,SEA,16,19,SEA
268,18,NYG,PHI,16,22,PHI
269,18,LAC,DEN,28,31,DEN
270,18,DET,GB,20,16,DET
